id,date,lon,lat,depth,type,level,loc,incident,city,province
2198,2019-07-30 05:16:16,102.86,27.16,19,ML,3.4,四川宁南,天然地震,凉山彝族自治州,四川省
2199,2019-07-30 01:04:34,104.73,28.2,9,ML,3.8,四川珙县,天然地震,宜宾市,四川省
2200,2019-07-27 05:39:56,100.98,37.82,10,ML,3.1,青海祁连,天然地震,海北藏族自治州,青海省
2201,2019-07-26 14:39:56,121.82,24.8,64,ML,3.8,台湾宜兰,天然地震,台湾省,台湾省
2202,2019-07-26 11:24:25,92.71,34.35,9,Ms,4.2,青海治多,天然地震,玉树藏族自治州,青海省
2203,2019-07-24 22:36:54,119.92,21.54,10,Ms,4.1,南海,天然地震,中华人民共和国,中华人民共和国
2204,2019-07-24 17:54:07,111.8,21.74,14,ML,3.1,广东阳江,天然地震,阳江市,广东省
2205,2019-07-23 14:56:55,96.03,28.71,8,Ms,3.9,西藏察隅,天然地震,林芝市,西藏自治区
2206,2019-07-22 20:32:16,87.67,42.76,20,Ms,4.2,新疆和硕,天然地震,巴音郭楞蒙古自治州,新疆维吾尔自治区
2207,2019-07-22 16:26:37,104.94,28.39,8,Ms,4.0,四川长宁,天然地震,宜宾市,四川省
2208,2019-07-21 22:51:56,100.61,26.14,7,ML,3.4,云南永胜,天然地震,丽江市,云南省
2209,2019-07-21 20:23:28,100.55,26.15,10,Ms,4.9,云南永胜,天然地震,丽江市,云南省
2210,2019-07-20 06:54:25,92.94,27.66,10,Ms,4.8,西藏错那,天然地震,山南市,西藏自治区
2211,2019-07-19 18:07:50,92.88,27.7,5,ML,3.1,西藏错那,天然地震,山南市,西藏自治区
2212,2019-07-19 17:52:01,92.82,27.73,7,ML,3.7,西藏错那,天然地震,山南市,西藏自治区
2213,2019-07-19 17:22:14,92.94,27.63,10,Ms,5.5,西藏错那,天然地震,山南市,西藏自治区
2214,2019-07-19 05:51:14,124.77,45.25,5,ML,3.4,吉林松原,天然地震,松原市,吉林省
2215,2019-07-19 01:21:28,104.74,28.18,9,ML,3.4,四川珙县,天然地震,宜宾市,四川省
2216,2019-07-17 19:43:10,74.7,39.4,7,ML,3.0,新疆乌恰,天然地震,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
2217,2019-07-17 11:46:41,100.15,26.6,13,ML,3.1,云南鹤庆,天然地震,大理白族自治州,云南省
